+====================+===================+================+
| Launch Setup Clock | Launch Hold Clock | Pin            |
+====================+===================+================+
| sys_clk_pin        | sys_clk_pin       | m0/b_reg[18]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[27]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[17]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[20]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[16]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[5]/D  |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[16]/D |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[16]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[13]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[29]/D |
| sys_clk_pin        | sys_clk_pin       | m0/b_reg[16]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[22]/D |
| sys_clk_pin        | sys_clk_pin       | m1/b_reg[23]/D |
| sys_clk_pin        | sys_clk_pin       | m5/b_reg[16]/D |
| sys_clk_pin        | sys_clk_pin       | m0/b_reg[17]/D |
| sys_clk_pin        | sys_clk_pin       | m1/b_reg[16]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[8]/D  |
| sys_clk_pin        | sys_clk_pin       | m5/b_reg[23]/D |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[23]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[30]/D |
| sys_clk_pin        | sys_clk_pin       | m2/b_reg[10]/D |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[20]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[15]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[10]/D |
| sys_clk_pin        | sys_clk_pin       | m0/b_reg[10]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[20]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[11]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[9]/D  |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[26]/D |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[10]/D |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[9]/D  |
| sys_clk_pin        | sys_clk_pin       | m0/b_reg[12]/D |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[8]/D  |
| sys_clk_pin        | sys_clk_pin       | m5/b_reg[13]/D |
| sys_clk_pin        | sys_clk_pin       | m5/b_reg[15]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[15]/D |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[18]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[7]/D  |
| sys_clk_pin        | sys_clk_pin       | m4/b_reg[15]/D |
| sys_clk_pin        | sys_clk_pin       | m6/b_reg[7]/D  |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[19]/D |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[13]/D |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[3]/D  |
| sys_clk_pin        | sys_clk_pin       | m0/b_reg[8]/D  |
| sys_clk_pin        | sys_clk_pin       | m5/b_reg[6]/D  |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[22]/D |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[17]/D |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[14]/D |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[9]/D  |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[2]/D  |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[1]/D  |
| sys_clk_pin        | sys_clk_pin       | m7/b_reg[8]/D  |
| sys_clk_pin        | sys_clk_pin       | m3/b_reg[0]/D  |
+--------------------+-------------------+----------------+
